Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Host,source_material_id,samp_collect_device,samp_size,Host_disease,isolate,rel_to_oxygen,samp_mat_process,replicate,sample_type
SRR37648994,WGS,228,3396130710,PRJNA1438251,SAMN56533464,Metagenome or environmental,1223040615,WALTER REED ARMY INSTITUTE OF RESEARCH,2022-05-25,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32528742,Poland,Europe,Poland,Illumina NovaSeq 6000,forest,53.70287899 N 22.09111088 E,22POL0525x0900x07,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-03-17T00:00:00Z,2026-03-16T16:13:00Z,1,22POL0525-0900.07,SRP684168,,22POL0525x0900x07,Drag/Flag,4,,,,,,
SRR37649038,WGS,238,1697603798,PRJNA1438251,SAMN56533424,Metagenome or environmental,584942515,WALTER REED ARMY INSTITUTE OF RESEARCH,2022-05-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32528698,Poland,Europe,Poland,Illumina NovaSeq 6000,Forest - Edge,53.45347088 N 15.82629036 E,22POL0520x1500x14,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-03-17T00:00:00Z,2026-03-16T16:08:00Z,1,22POL0520-1500.14,SRP684168,,22POL0520x1500x14,Drag/Flag,3,,,,,,
SRR37721848,WGS,300,17153808900,PRJNA1441104,SAMN56641266,Metagenome or environmental,5302059333,SUQIAN FIRST HOSPITAL,2023,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32599179,China,Asia,"China: Suqian\, Jiangsu",Illumina NovaSeq 6000,feces,not collected,HC-10,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-03-22T00:00:00Z,2026-03-22T19:26:00Z,1,HC-10,SRP685737,Homo sapiens,,,,healthy,HC-10,,,,
SRR37721880,WGS,300,13341282300,PRJNA1441104,SAMN56641273,Metagenome or environmental,4177375125,SUQIAN FIRST HOSPITAL,2023,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32599147,China,Asia,"China: Suqian\, Jiangsu",Illumina NovaSeq 6000,feces,not collected,RA-6,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-03-22T00:00:00Z,2026-03-22T19:29:00Z,1,RA-6,SRP685737,Homo sapiens,,,,rheumatoid arthritis,RA-6,,,,
SRR37721886,WGS,300,13264722900,PRJNA1441104,SAMN56641267,Metagenome or environmental,4125419963,SUQIAN FIRST HOSPITAL,2023,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32599141,China,Asia,"China: Suqian\, Jiangsu",Illumina NovaSeq 6000,feces,not collected,HC-11,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-03-22T00:00:00Z,2026-03-22T19:33:00Z,1,HC-11,SRP685737,Homo sapiens,,,,healthy,HC-11,,,,
SRR37736330,WGS,300,7766564100,PRJNA1441656,SAMN56667235,Metagenome or environmental,2288487934,SHANDONG FIRST MEDICAL UNIVERSITY & SHANDONG ACADEMY OF MEDICAL SCIENCES,2025-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32613167,China,Asia,China:Jinan,Illumina NovaSeq 6000,medical wastewater effluent,36.6598 N 117.1166 E,Oct.2.Ef,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-03-23T00:00:00Z,2026-03-23T21:50:00Z,1,Oct.2.Ef,SRP686081,wastewater,Oct.2.Ef,,,,,,,2,effluent_water
SRR37727684,WGS,302,13801049982,PRJNA1441361,SAMN56648248,Metagenome or environmental,3992343097,SUZHOU UNIVERSITY OF SCIENCE AND TECHNOLOGY,2024-05-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32604943,China,Asia,China,Illumina MiSeq,Laboratory sediment,36.34 N 101.52 E,L1MLA2202033-A2,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2026-03-23T00:00:00Z,2026-03-23T08:33:00Z,1,L1MLA2202033-A2,SRP685834,not applicable,,,,,,,,,
SRR37739024,WGS,302,17318048060,PRJNA1441662,SAMN56667566,Metagenome or environmental,5465263983,CHINESE ACADEMY OF SCIENCES,2018-07-30,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32615828,China,Asia,China,Illumina HiSeq 2500,soil,40 N 105 E,MG_L1,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-03-24T00:00:00Z,2026-03-24T06:46:00Z,1,MG_L1,SRP686160,desert,missing,missing,missing,,,missing,missing,,
SRR37739027,WGS,302,16718305958,PRJNA1441662,SAMN56667563,Metagenome or environmental,5453067320,CHINESE ACADEMY OF SCIENCES,2018-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32615825,China,Asia,China,Illumina HiSeq 2500,soil,41 N 105 E,MG_M2,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-03-24T00:00:00Z,2026-03-24T06:45:00Z,1,MG_M2,SRP686160,desert,missing,missing,missing,,,missing,missing,,
SRR37739039,WGS,302,18305765938,PRJNA1441662,SAMN56667573,Metagenome or environmental,5783848408,CHINESE ACADEMY OF SCIENCES,2019-09-05,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32615813,China,Asia,China,Illumina HiSeq 2500,soil,42 N 106 E,MG_Au4,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-03-24T00:00:00Z,2026-03-24T06:45:00Z,1,MG_Au4,SRP686160,desert,missing,missing,missing,,,missing,missing,,
